beacon_id,rssi,rpi_id
5,-100,rpi-00
5,-76,rpi-00
5,-102,rpi-00
5,-86,rpi-00
5,-86,rpi-00
5,-81,rpi-00
5,-78,rpi-00
5,-90,rpi-00
5,-84,rpi-00
5,-74,rpi-00
5,-78,rpi-00
5,-76,rpi-00
5,-96,rpi-00
5,-88,rpi-00
5,-82,rpi-00
5,-88,rpi-00
5,-93,rpi-00
5,-94,rpi-00
5,-80,rpi-00
5,-96,rpi-00
5,-80,rpi-00
5,-85,rpi-00
5,-88,rpi-00
5,-77,rpi-00
5,-78,rpi-00
5,-92,rpi-00
5,-90,rpi-00
5,-79,rpi-00
5,-71,rpi-00
5,-72,rpi-00
5,-75,rpi-00
5,-74,rpi-00
5,-75,rpi-00
5,-74,rpi-00
5,-89,rpi-00
5,-75,rpi-00
5,-76,rpi-00
5,-75,rpi-00
5,-75,rpi-00
5,-76,rpi-00
5,-89,rpi-00
5,-75,rpi-00
5,-77,rpi-00
5,-75,rpi-00
5,-88,rpi-00
5,-88,rpi-00
5,-96,rpi-00
5,-92,rpi-00
5,-71,rpi-00
5,-89,rpi-00
5,-77,rpi-00
5,-74,rpi-00
5,-77,rpi-00
5,-88,rpi-00
5,-92,rpi-00
5,-90,rpi-00
5,-96,rpi-00
5,-87,rpi-00
5,-90,rpi-00
5,-88,rpi-00
5,-77,rpi-00
5,-76,rpi-00
5,-91,rpi-00
5,-79,rpi-00
5,-91,rpi-00
5,-83,rpi-00
5,-75,rpi-00
5,-92,rpi-00
5,-78,rpi-00
5,-84,rpi-00
5,-85,rpi-00
5,-76,rpi-00
5,-68,rpi-00
5,-75,rpi-00
5,-82,rpi-00
5,-77,rpi-00
5,-90,rpi-00
5,-80,rpi-00
5,-82,rpi-00
5,-77,rpi-00
5,-94,rpi-00
5,-91,rpi-00
5,-81,rpi-00
5,-76,rpi-00
5,-83,rpi-00
5,-95,rpi-00
5,-75,rpi-00
5,-96,rpi-00
5,-80,rpi-00
5,-73,rpi-00
5,-81,rpi-00
5,-86,rpi-00
5,-75,rpi-00
5,-78,rpi-00
5,-86,rpi-00
5,-84,rpi-00
5,-72,rpi-00
5,-90,rpi-00
5,-80,rpi-00
5,-74,rpi-00
5,-66,rpi-00
5,-80,rpi-00
5,-76,rpi-00
5,-69,rpi-00
5,-72,rpi-00
5,-64,rpi-00
5,-81,rpi-00
5,-84,rpi-00
5,-81,rpi-00
5,-77,rpi-00
5,-84,rpi-00
5,-79,rpi-00
5,-72,rpi-00
5,-91,rpi-00
5,-65,rpi-00
5,-92,rpi-00
5,-81,rpi-00
5,-68,rpi-00
5,-81,rpi-00
5,-80,rpi-00
5,-80,rpi-00
5,-68,rpi-00
5,-67,rpi-00
5,-79,rpi-00
5,-86,rpi-00
5,-75,rpi-00
5,-74,rpi-00
5,-75,rpi-00
5,-89,rpi-00
5,-88,rpi-00
5,-93,rpi-00
5,-65,rpi-00
5,-72,rpi-00
5,-83,rpi-00
5,-68,rpi-00
5,-64,rpi-00
5,-71,rpi-00
5,-63,rpi-00
5,-67,rpi-00
5,-69,rpi-00
5,-79,rpi-00
5,-76,rpi-00
5,-78,rpi-00
5,-70,rpi-00
5,-71,rpi-00
5,-70,rpi-00
5,-80,rpi-00
5,-67,rpi-00
5,-73,rpi-00
5,-71,rpi-00
5,-80,rpi-00
5,-68,rpi-00
5,-77,rpi-00
5,-67,rpi-00
5,-70,rpi-00
5,-68,rpi-00
5,-83,rpi-00
5,-71,rpi-00
5,-87,rpi-00
5,-85,rpi-00
5,-83,rpi-00
5,-91,rpi-00
5,-90,rpi-00
5,-67,rpi-00
5,-79,rpi-00
5,-78,rpi-00
5,-82,rpi-00
5,-97,rpi-00
5,-79,rpi-00
5,-92,rpi-00
5,-81,rpi-00
5,-89,rpi-00
5,-75,rpi-00
5,-76,rpi-00
5,-71,rpi-00
5,-84,rpi-00
5,-69,rpi-00
5,-74,rpi-00
5,-90,rpi-00
5,-87,rpi-00
5,-81,rpi-00
5,-90,rpi-00
5,-76,rpi-00
5,-76,rpi-00
5,-88,rpi-00
5,-89,rpi-00
5,-84,rpi-00
5,-87,rpi-00
5,-87,rpi-00
5,-72,rpi-00
5,-73,rpi-00
5,-70,rpi-00
5,-95,rpi-00
5,-81,rpi-00
5,-76,rpi-00
5,-85,rpi-00
5,-81,rpi-00
5,-72,rpi-00
5,-83,rpi-00
5,-73,rpi-00
5,-78,rpi-00
5,-74,rpi-00
5,-87,rpi-00
5,-76,rpi-00
5,-93,rpi-00
5,-94,rpi-00
5,-92,rpi-00
5,-87,rpi-00
5,-73,rpi-00
5,-84,rpi-00
5,-71,rpi-00
5,-70,rpi-00
5,-96,rpi-00
5,-88,rpi-00
5,-94,rpi-00
5,-88,rpi-00
5,-81,rpi-00
5,-85,rpi-00
5,-87,rpi-00
5,-84,rpi-00
5,-71,rpi-00
5,-72,rpi-00
5,-73,rpi-00
5,-72,rpi-00
5,-72,rpi-00
5,-77,rpi-00
5,-75,rpi-00
5,-82,rpi-00
5,-75,rpi-00
5,-99,rpi-00
5,-87,rpi-00
5,-73,rpi-00
5,-71,rpi-00
5,-71,rpi-00
5,-71,rpi-00
5,-74,rpi-00
5,-96,rpi-00
5,-74,rpi-00
5,-73,rpi-00
5,-71,rpi-00
5,-87,rpi-00
5,-87,rpi-00
5,-70,rpi-00
5,-86,rpi-00
5,-84,rpi-00
5,-85,rpi-00
5,-73,rpi-00
5,-85,rpi-00
5,-85,rpi-00
5,-79,rpi-00
5,-71,rpi-00
5,-96,rpi-00
5,-87,rpi-00
5,-71,rpi-00
5,-94,rpi-00
5,-86,rpi-00
