beacon_id,rssi,rpi_id
43,-97,rpi-24
43,-94,rpi-24
43,-94,rpi-24
43,-86,rpi-24
43,-76,rpi-24
43,-79,rpi-24
43,-84,rpi-24
43,-83,rpi-24
43,-87,rpi-24
43,-74,rpi-24
43,-76,rpi-24
43,-79,rpi-24
43,-70,rpi-24
43,-66,rpi-24
43,-81,rpi-24
43,-69,rpi-24
43,-62,rpi-24
43,-70,rpi-24
43,-71,rpi-24
43,-67,rpi-24
43,-71,rpi-24
43,-57,rpi-24
43,-58,rpi-24
43,-46,rpi-24
43,-56,rpi-24
43,-55,rpi-24
43,-78,rpi-24
43,-58,rpi-24
43,-68,rpi-24
43,-73,rpi-24
43,-89,rpi-24
43,-87,rpi-24
43,-69,rpi-24
43,-79,rpi-24
43,-85,rpi-24
43,-82,rpi-24
43,-80,rpi-24
43,-90,rpi-24
43,-96,rpi-24
43,-74,rpi-24
43,-98,rpi-24
43,-83,rpi-24
43,-99,rpi-24
43,-78,rpi-24
43,-76,rpi-24
43,-90,rpi-24
43,-92,rpi-24
43,-83,rpi-24
43,-71,rpi-24
43,-83,rpi-24
43,-74,rpi-24
43,-86,rpi-24
43,-85,rpi-24
43,-74,rpi-24
43,-66,rpi-24
43,-89,rpi-24
43,-84,rpi-24
43,-74,rpi-24
43,-76,rpi-24
43,-77,rpi-24
43,-64,rpi-24
43,-74,rpi-24
43,-71,rpi-24
43,-73,rpi-24
43,-81,rpi-24
43,-70,rpi-24
43,-72,rpi-24
43,-85,rpi-24
43,-72,rpi-24
43,-68,rpi-24
43,-71,rpi-24
43,-89,rpi-24
43,-78,rpi-24
43,-75,rpi-24
43,-75,rpi-24
43,-86,rpi-24
43,-86,rpi-24
43,-85,rpi-24
43,-79,rpi-24
43,-77,rpi-24
43,-77,rpi-24
43,-94,rpi-24
43,-78,rpi-24
43,-95,rpi-24
43,-88,rpi-24
43,-89,rpi-24
43,-77,rpi-24
43,-69,rpi-24
43,-72,rpi-24
43,-82,rpi-24
43,-75,rpi-24
43,-72,rpi-24
43,-75,rpi-24
43,-92,rpi-24
43,-81,rpi-24
43,-79,rpi-24
43,-73,rpi-24
43,-75,rpi-24
43,-74,rpi-24
43,-92,rpi-24
43,-86,rpi-24
43,-76,rpi-24
43,-86,rpi-24
43,-93,rpi-24
43,-81,rpi-24
43,-92,rpi-24
43,-73,rpi-24
43,-86,rpi-24
43,-81,rpi-24
43,-98,rpi-24
43,-75,rpi-24
43,-75,rpi-24
43,-75,rpi-24
43,-80,rpi-24
43,-87,rpi-24
43,-82,rpi-24
43,-70,rpi-24
43,-69,rpi-24
43,-75,rpi-24
43,-85,rpi-24
43,-79,rpi-24
43,-85,rpi-24
43,-85,rpi-24
43,-89,rpi-24
43,-71,rpi-24
43,-72,rpi-24
43,-74,rpi-24
43,-71,rpi-24
43,-87,rpi-24
43,-68,rpi-24
43,-76,rpi-24
43,-89,rpi-24
43,-83,rpi-24
43,-77,rpi-24
43,-83,rpi-24
43,-96,rpi-24
43,-87,rpi-24
43,-85,rpi-24
43,-85,rpi-24
43,-72,rpi-24
43,-73,rpi-24
43,-83,rpi-24
43,-70,rpi-24
43,-87,rpi-24
43,-71,rpi-24
43,-78,rpi-24
43,-76,rpi-24
43,-77,rpi-24
43,-86,rpi-24
43,-87,rpi-24
43,-79,rpi-24
43,-70,rpi-24
43,-103,rpi-24
43,-71,rpi-24
43,-74,rpi-24
43,-92,rpi-24
43,-76,rpi-24
43,-78,rpi-24
43,-72,rpi-24
43,-75,rpi-24
43,-72,rpi-24
43,-84,rpi-24
43,-75,rpi-24
43,-79,rpi-24
43,-79,rpi-24
43,-82,rpi-24
43,-92,rpi-24
43,-77,rpi-24
43,-82,rpi-24
43,-82,rpi-24
43,-79,rpi-24
43,-70,rpi-24
43,-84,rpi-24
43,-67,rpi-24
43,-79,rpi-24
43,-71,rpi-24
43,-82,rpi-24
43,-89,rpi-24
43,-83,rpi-24
43,-90,rpi-24
43,-70,rpi-24
43,-79,rpi-24
43,-89,rpi-24
43,-83,rpi-24
43,-91,rpi-24
43,-81,rpi-24
43,-94,rpi-24
43,-71,rpi-24
43,-87,rpi-24
43,-72,rpi-24
43,-93,rpi-24
43,-80,rpi-24
43,-94,rpi-24
