beacon_id,rssi,rpi_id
32,-85,rpi-10
32,-95,rpi-10
32,-76,rpi-10
32,-81,rpi-10
32,-90,rpi-10
32,-79,rpi-10
32,-82,rpi-10
32,-67,rpi-10
32,-67,rpi-10
32,-77,rpi-10
32,-60,rpi-10
32,-90,rpi-10
32,-84,rpi-10
32,-74,rpi-10
32,-86,rpi-10
32,-78,rpi-10
32,-72,rpi-10
32,-77,rpi-10
32,-75,rpi-10
32,-70,rpi-10
32,-74,rpi-10
32,-75,rpi-10
32,-85,rpi-10
32,-89,rpi-10
32,-88,rpi-10
32,-81,rpi-10
32,-86,rpi-10
32,-102,rpi-10
32,-81,rpi-10
32,-92,rpi-10
32,-91,rpi-10
32,-83,rpi-10
32,-85,rpi-10
32,-84,rpi-10
32,-82,rpi-10
32,-87,rpi-10
32,-80,rpi-10
32,-102,rpi-10
32,-85,rpi-10
32,-85,rpi-10
32,-84,rpi-10
32,-86,rpi-10
32,-82,rpi-10
32,-97,rpi-10
32,-95,rpi-10
32,-86,rpi-10
32,-96,rpi-10
32,-90,rpi-10
32,-85,rpi-10
32,-81,rpi-10
32,-86,rpi-10
32,-95,rpi-10
32,-96,rpi-10
32,-85,rpi-10
32,-86,rpi-10
32,-100,rpi-10
32,-89,rpi-10
32,-93,rpi-10
32,-80,rpi-10
32,-82,rpi-10
32,-81,rpi-10
32,-83,rpi-10
32,-86,rpi-10
32,-84,rpi-10
32,-96,rpi-10
32,-84,rpi-10
32,-85,rpi-10
32,-87,rpi-10
32,-102,rpi-10
32,-82,rpi-10
32,-96,rpi-10
32,-79,rpi-10
32,-90,rpi-10
32,-90,rpi-10
32,-95,rpi-10
32,-94,rpi-10
32,-77,rpi-10
32,-84,rpi-10
32,-76,rpi-10
32,-93,rpi-10
32,-82,rpi-10
32,-94,rpi-10
32,-94,rpi-10
32,-97,rpi-10
32,-82,rpi-10
32,-82,rpi-10
32,-82,rpi-10
32,-89,rpi-10
32,-83,rpi-10
32,-95,rpi-10
32,-81,rpi-10
32,-83,rpi-10
32,-83,rpi-10
32,-97,rpi-10
32,-84,rpi-10
32,-78,rpi-10
32,-83,rpi-10
32,-76,rpi-10
32,-81,rpi-10
32,-82,rpi-10
32,-92,rpi-10
32,-95,rpi-10
32,-95,rpi-10
32,-91,rpi-10
32,-81,rpi-10
32,-77,rpi-10
32,-81,rpi-10
32,-93,rpi-10
32,-92,rpi-10
32,-93,rpi-10
32,-77,rpi-10
32,-85,rpi-10
32,-91,rpi-10
32,-90,rpi-10
32,-88,rpi-10
32,-91,rpi-10
32,-88,rpi-10
32,-89,rpi-10
32,-99,rpi-10
32,-87,rpi-10
32,-89,rpi-10
32,-90,rpi-10
32,-102,rpi-10
32,-90,rpi-10
32,-89,rpi-10
32,-103,rpi-10
32,-89,rpi-10
32,-87,rpi-10
32,-90,rpi-10
32,-88,rpi-10
32,-90,rpi-10
32,-101,rpi-10
32,-86,rpi-10
32,-90,rpi-10
32,-90,rpi-10
32,-100,rpi-10
32,-92,rpi-10
32,-90,rpi-10
32,-100,rpi-10
32,-90,rpi-10
32,-96,rpi-10
32,-81,rpi-10
32,-89,rpi-10
32,-97,rpi-10
32,-79,rpi-10
32,-74,rpi-10
32,-76,rpi-10
32,-72,rpi-10
32,-77,rpi-10
32,-82,rpi-10
32,-74,rpi-10
32,-86,rpi-10
32,-76,rpi-10
32,-83,rpi-10
32,-80,rpi-10
32,-87,rpi-10
32,-90,rpi-10
32,-79,rpi-10
32,-90,rpi-10
32,-77,rpi-10
32,-73,rpi-10
32,-73,rpi-10
32,-69,rpi-10
32,-77,rpi-10
32,-72,rpi-10
32,-72,rpi-10
32,-61,rpi-10
32,-60,rpi-10
32,-55,rpi-10
32,-53,rpi-10
32,-72,rpi-10
32,-63,rpi-10
32,-64,rpi-10
32,-75,rpi-10
32,-83,rpi-10
32,-79,rpi-10
32,-99,rpi-10
32,-83,rpi-10
32,-75,rpi-10
32,-75,rpi-10
32,-71,rpi-10
32,-80,rpi-10
32,-98,rpi-10
32,-83,rpi-10
32,-80,rpi-10
32,-77,rpi-10
32,-83,rpi-10
32,-90,rpi-10
32,-85,rpi-10
32,-91,rpi-10
32,-92,rpi-10
32,-91,rpi-10
32,-78,rpi-10
32,-95,rpi-10
32,-92,rpi-10
32,-80,rpi-10
32,-89,rpi-10
32,-78,rpi-10
32,-77,rpi-10
32,-95,rpi-10
32,-87,rpi-10
32,-96,rpi-10
32,-86,rpi-10
32,-86,rpi-10
32,-83,rpi-10
32,-96,rpi-10
32,-95,rpi-10
32,-97,rpi-10
32,-98,rpi-10
32,-85,rpi-10
32,-85,rpi-10
32,-85,rpi-10
32,-85,rpi-10
32,-96,rpi-10
32,-87,rpi-10
32,-85,rpi-10
32,-87,rpi-10
32,-82,rpi-10
32,-96,rpi-10
32,-84,rpi-10
32,-95,rpi-10
32,-94,rpi-10
32,-89,rpi-10
32,-86,rpi-10
32,-82,rpi-10
32,-85,rpi-10
32,-85,rpi-10
32,-85,rpi-10
32,-94,rpi-10
32,-82,rpi-10
32,-83,rpi-10
32,-84,rpi-10
32,-87,rpi-10
32,-95,rpi-10
32,-97,rpi-10
32,-94,rpi-10
32,-85,rpi-10
32,-95,rpi-10
32,-96,rpi-10
32,-85,rpi-10
32,-84,rpi-10
32,-94,rpi-10
32,-97,rpi-10
32,-95,rpi-10
32,-90,rpi-10
32,-93,rpi-10
32,-96,rpi-10
32,-86,rpi-10
32,-86,rpi-10
32,-85,rpi-10
32,-85,rpi-10
32,-85,rpi-10
32,-98,rpi-10
32,-95,rpi-10
32,-86,rpi-10
32,-96,rpi-10
32,-95,rpi-10
32,-93,rpi-10
32,-79,rpi-10
32,-82,rpi-10
32,-88,rpi-10
32,-83,rpi-10
32,-83,rpi-10
32,-92,rpi-10
32,-87,rpi-10
32,-95,rpi-10
32,-95,rpi-10
32,-87,rpi-10
32,-83,rpi-10
32,-84,rpi-10
32,-88,rpi-10
32,-82,rpi-10
32,-94,rpi-10
32,-96,rpi-10
32,-97,rpi-10
32,-82,rpi-10
32,-82,rpi-10
32,-94,rpi-10
32,-96,rpi-10
32,-98,rpi-10
32,-85,rpi-10
32,-86,rpi-10
32,-84,rpi-10
32,-85,rpi-10
32,-83,rpi-10
32,-84,rpi-10
32,-84,rpi-10
32,-83,rpi-10
32,-95,rpi-10
32,-97,rpi-10
32,-92,rpi-10
32,-79,rpi-10
32,-94,rpi-10
32,-95,rpi-10
32,-85,rpi-10
32,-95,rpi-10
32,-96,rpi-10
32,-85,rpi-10
32,-86,rpi-10
32,-83,rpi-10
32,-86,rpi-10
32,-86,rpi-10
32,-86,rpi-10
32,-98,rpi-10
32,-99,rpi-10
32,-97,rpi-10
32,-95,rpi-10
32,-84,rpi-10
32,-86,rpi-10
32,-81,rpi-10
32,-86,rpi-10
32,-84,rpi-10
32,-94,rpi-10
32,-94,rpi-10
32,-88,rpi-10
32,-95,rpi-10
32,-87,rpi-10
32,-86,rpi-10
32,-96,rpi-10
32,-84,rpi-10
32,-102,rpi-10
32,-96,rpi-10
32,-83,rpi-10
32,-87,rpi-10
32,-99,rpi-10
32,-100,rpi-10
32,-86,rpi-10
